Source,Target,Type,Distance,Voltage,Lines
51,53,Undirected,19.2988888891,220,4
51,213,Undirected,339400351772000,220,4
53,213,Undirected,2422557828460,220,4
55,56,Undirected,49.1054208455,220,2
55,57,Undirected,0.1,66,1
55,58,Undirected,0.1,66,1
56,68,Undirected,457028.032419,110,2
56,200,Undirected,8961.94816491,110,2
56,203,Undirected,6.39,110,2
56,77,Undirected,2699.51584418,110,2
56,206,Undirected,188426.205924,110,2
56,79,Undirected,3571.41082354,110,2
56,57,Undirected,20345.3697894,110,2
56,81,Undirected,44060.8315071,110,2
56,59,Undirected,40.7,220,2
57,68,Undirected,18884.1617618,110,2
57,200,Undirected,370.30305986,110,2
57,79,Undirected,147.568846822,110,2
57,77,Undirected,111.54259753,110,2
57,206,Undirected,7785.67330757,110,2
57,81,Undirected,1820.57075391,110,2
59,88,Undirected,260.32,500,4
59,89,Undirected,2402824.72658,220,2
59,90,Undirected,3.32985486998E+027,154,2
59,92,Undirected,8.26511640525E+029,154,2
59,93,Undirected,312.423181818,66,1
59,97,Undirected,1421025.37593,220,2
59,98,Undirected,8612.27500566,220,2
59,99,Undirected,232675.237666,220,2
59,100,Undirected,498855709.555,220,2
59,102,Undirected,9.50419415445E+024,154,2
59,103,Undirected,1.292570405E+027,154,2
59,104,Undirected,3.05798149711E+024,154,2
59,105,Undirected,4.50404621828E+016,154,2
59,106,Undirected,3414832360460000,154,2
59,108,Undirected,4.58647311862E+016,154,2
59,61,Undirected,95.3337724061,550,2
59,62,Undirected,225.679292965,550,2
59,64,Undirected,24.895,220,4
59,83,Undirected,0.206666666667,220,3
59,84,Undirected,4562844683.87,220,2
59,85,Undirected,2.70859671909E+030,154,2
60,61,Undirected,13.86,220,2
61,66,Undirected,554.125559672,110,2
61,69,Undirected,252.889517166,110,2
61,72,Undirected,1028.02776411,110,2
61,74,Undirected,1099.75063137,110,2
61,62,Undirected,124.540838626,550,2
61,64,Undirected,12.75,220,2
61,65,Undirected,19.0091721806,110,2
62,104,Undirected,58270384044600,220,1
62,86,Undirected,42360774.7727,220,1
62,87,Undirected,5578775749620,220,1
62,198,Undirected,6871641161890000,220,1
62,199,Undirected,75.2279139283,110,3
62,85,Undirected,55.2200059052,220,1
62,63,Undirected,63684545789800,220,1
63,86,Undirected,5.46670439793E+020,220,1
63,87,Undirected,7.19947122997E+025,220,1
63,198,Undirected,8.86792821007E+028,220,1
63,104,Undirected,7.51985690619E+026,220,1
63,85,Undirected,712620226509000,220,1
64,66,Undirected,17.5093487142,220,2
64,67,Undirected,6.31762068121,220,2
64,83,Undirected,37.4197532656,220,2
65,66,Undirected,1982.65665844,110,2
65,194,Undirected,11.043,110,2
65,69,Undirected,904.836595797,110,2
65,72,Undirected,3678.27481695,110,2
65,74,Undirected,3934.89864139,110,2
66,67,Undirected,33.4833896104,220,2
66,69,Undirected,26376.3766404,110,2
